VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-10-01 00:26:02,2019-10-01 00:39:58,N,1,112,196,1,5.88,18,0.5,0.5,0,0,,0.3,19.3,2,1,0
1,2019-10-01 00:18:11,2019-10-01 00:22:38,N,1,43,263,1,.80,5,3.25,0.5,0,0,,0.3,9.05,2,1,0
1,2019-10-01 00:09:31,2019-10-01 00:24:47,N,1,255,228,2,7.50,21.5,0.5,0.5,0,0,,0.3,22.8,2,1,0
1,2019-10-01 00:37:40,2019-10-01 00:41:49,N,1,181,181,1,.90,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2019-10-01 00:08:13,2019-10-01 00:17:56,N,1,97,188,1,2.52,10,0.5,0.5,2.26,0,,0.3,13.56,1,1,0
2,2019-10-01 00:35:01,2019-10-01 00:43:40,N,1,65,49,1,1.47,8,0.5,0.5,1.86,0,,0.3,11.16,1,1,0
1,2019-10-01 00:28:09,2019-10-01 00:30:49,N,1,7,179,1,.60,4,0.5,0.5,1,0,,0.3,6.3,1,1,0
2,2019-10-01 00:28:26,2019-10-01 00:32:01,N,1,41,74,1,.56,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2019-10-01 00:14:01,2019-10-01 00:26:16,N,1,255,49,1,2.42,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
1,2019-10-01 00:03:03,2019-10-01 00:17:13,Y,1,130,131,1,3.40,13,0.5,0.5,2.85,0,,0.3,17.15,1,1,0
2,2019-10-01 00:07:10,2019-10-01 00:23:38,N,1,24,74,3,3.18,13.5,0.5,0.5,0,0,,0.3,14.8,2,1,0
1,2019-10-01 00:25:48,2019-10-01 00:49:52,N,1,255,188,1,4.70,18,0.5,0.5,1,0,,0.3,20.3,1,1,0
1,2019-10-01 00:03:12,2019-10-01 00:14:43,N,1,129,160,1,3.10,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
2,2019-10-01 00:44:56,2019-10-01 00:51:06,N,5,18,169,1,1.19,10,0,0,0.25,0,,0,10.25,1,2,0
2,2019-10-01 00:55:14,2019-10-01 01:00:49,N,1,223,7,1,1.09,6,0.5,0.5,1.46,0,,0.3,8.76,1,1,0
2,2019-10-01 00:06:06,2019-10-01 00:11:05,N,1,75,262,1,1.24,6,0.5,0.5,2.01,0,,0.3,12.06,1,1,2.75
2,2019-10-01 00:00:19,2019-10-01 00:14:32,N,1,97,228,1,3.03,13,0.5,0.5,3.58,0,,0.3,17.88,1,1,0
2,2019-10-01 00:09:31,2019-10-01 00:20:41,N,1,41,74,1,2.03,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1,0
2,2019-10-01 00:30:36,2019-10-01 00:34:30,N,1,41,42,1,.73,5,0.5,0.5,1.26,0,,0.3,7.56,1,1,0
2,2019-10-01 00:58:32,2019-10-01 01:05:08,N,1,41,116,1,1.48,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2019-10-01 00:11:58,2019-10-01 00:16:21,N,1,134,134,2,.89,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2019-10-01 00:42:27,2019-10-01 01:04:30,N,1,260,92,1,4.21,16.5,0.5,0.5,0,0,,0.3,17.8,2,1,0
2,2019-10-01 00:03:38,2019-10-01 00:12:43,N,1,83,56,1,1.64,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2019-10-01 00:12:30,2019-10-01 00:27:16,N,1,181,89,1,3.60,13.5,0.5,0.5,0.74,0,,0.3,15.54,1,1,0
2,2019-10-01 00:44:27,2019-10-01 00:54:27,N,1,181,188,1,2.44,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,2019-10-01 00:04:40,2019-10-01 00:10:02,N,1,226,226,1,1.58,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1,0
2,2019-10-01 00:22:41,2019-10-01 00:31:53,N,1,33,80,1,4.46,14.5,0.5,0.5,0,0,,0.3,15.8,2,1,0
2,2019-10-01 00:38:00,2019-10-01 00:45:50,N,1,256,37,1,1.81,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2019-10-01 00:54:35,2019-10-01 01:01:39,N,1,80,148,1,2.33,9,0.5,0.5,1.96,0,,0.3,15.01,1,1,2.75
2,2019-10-01 00:55:48,2019-10-01 01:00:45,N,1,223,7,5,.82,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2019-10-01 00:52:36,2019-10-01 00:52:42,N,5,92,92,1,.00,15,0,0,0,0,,0,15,2,2,0
2,2019-10-01 00:20:56,2019-10-01 00:27:52,N,1,129,83,1,1.49,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2019-10-01 00:37:54,2019-10-01 00:50:51,N,1,130,205,1,3.60,13,0.5,0.5,0,0,,0.3,14.3,2,1,0
2,2019-10-01 00:42:34,2019-10-01 00:45:23,N,1,179,223,1,.53,4,0.5,0.5,1.06,0,,0.3,6.36,1,1,0
2,2019-10-01 00:57:00,2019-10-01 00:59:27,N,1,7,7,1,.53,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
2,2019-10-01 00:25:33,2019-10-01 00:38:57,N,1,166,41,1,1.72,10,0.5,0.5,3.39,0,,0.3,14.69,1,1,0
2,2019-10-01 00:45:56,2019-10-01 00:59:41,N,1,41,166,1,5.30,17,0.5,0.5,0,0,,0.3,18.3,2,1,0
2,2019-10-01 00:12:29,2019-10-01 00:28:42,N,1,244,166,1,3.07,13.5,0.5,0.5,4.44,0,,0.3,19.24,1,1,0
2,2019-10-01 00:58:09,2019-10-01 01:13:43,N,1,47,168,1,5.89,19,0.5,0.5,0,0,,0.3,20.3,2,1,0
2,2019-10-01 00:06:09,2019-10-01 00:15:59,N,1,25,188,1,1.86,9,0.5,0.5,1.03,0,,0.3,11.33,1,1,0
2,2019-10-01 00:54:17,2019-10-01 01:17:54,N,1,25,75,1,10.30,30.5,0.5,0.5,6.91,0,,0.3,41.46,1,1,2.75
2,2019-10-01 00:22:21,2019-10-01 00:34:36,N,1,244,239,1,5.10,16,0.5,0.5,2,0,,0.3,22.05,1,1,2.75
2,2019-10-01 00:04:20,2019-10-01 00:15:24,N,1,82,226,1,2.36,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,2019-10-01 00:15:36,2019-10-01 00:30:16,N,1,66,189,1,2.54,12,0.5,0.5,2,0,,0.3,15.3,1,1,0
2,2019-10-01 00:35:23,2019-10-01 01:08:45,N,1,22,37,2,9.09,30,0.5,0.5,0,0,,0.3,31.3,1,1,0
2,2019-10-01 00:45:33,2019-10-01 00:54:43,N,1,95,197,1,2.47,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2019-10-01 00:01:36,2019-10-01 00:11:58,N,1,69,136,1,2.48,10,0.5,0.5,0,0,,0.3,11.3,1,1,0
1,2019-10-01 00:31:10,2019-10-01 00:40:02,N,1,129,129,1,1.40,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2019-10-01 00:15:48,2019-10-01 00:29:03,N,1,42,233,1,6.13,19,0.5,0.5,4,0,,0.3,27.05,1,1,2.75
2,2019-10-01 00:42:36,2019-10-01 00:43:02,N,1,74,74,1,.00,2.5,0.5,0.5,35,0,,0.3,38.8,1,1,0
2,2019-10-01 00:29:21,2019-10-01 00:36:35,N,1,82,157,1,1.45,7,0.5,0.5,2.49,0,,0.3,10.79,1,1,0
2,2019-10-01 00:49:41,2019-10-01 01:14:27,N,1,129,130,1,9.94,31,0.5,0.5,0,0,,0.3,32.3,2,1,0
2,2019-10-01 00:44:50,2019-10-01 00:49:05,N,1,75,75,1,.93,5,0.5,0.5,1.26,0,,0.3,7.56,1,1,0
2,2019-10-01 00:55:39,2019-10-01 01:18:38,N,1,75,231,1,8.26,25.5,0.5,0.5,7.39,0,,0.3,36.94,1,1,2.75
2,2019-10-01 00:04:16,2019-10-01 00:09:30,N,1,74,168,1,1.31,6.5,0.5,0.5,0,0,,0.3,7.8,1,1,0
2,2019-10-01 00:16:55,2019-10-01 00:29:49,N,1,92,192,1,2.61,11.5,0.5,0.5,3.84,0,,0.3,16.64,1,1,0
2,2019-10-01 00:24:51,2019-10-01 00:42:36,N,4,130,265,1,9.18,30.5,0.5,0.5,6.36,0,,0.3,38.16,1,1,0
1,2019-10-01 00:10:56,2019-10-01 00:14:03,N,1,210,29,1,1.00,5,0.5,0.5,1.25,0,,0.3,7.55,1,1,0
2,2019-10-01 00:33:21,2019-10-01 00:38:29,N,1,223,7,1,.97,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2019-10-01 00:26:33,2019-10-01 00:35:05,N,1,82,160,1,1.59,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2019-10-01 00:05:20,2019-10-01 00:11:57,N,1,92,73,1,1.58,7,0.5,0.5,1.66,0,,0.3,9.96,1,1,0
2,2019-10-01 00:22:08,2019-10-01 00:31:47,N,1,260,82,1,2.08,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2019-10-01 00:35:13,2019-10-01 00:50:49,N,1,41,161,1,4.53,15.5,0.5,0.5,0,0,,0.3,19.55,2,1,2.75
2,2019-10-01 00:27:18,2019-10-01 00:34:21,N,1,74,168,2,1.25,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2019-10-01 00:11:07,2019-10-01 00:15:28,N,1,41,116,1,1.00,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2019-10-01 00:38:44,2019-10-01 00:58:07,N,1,75,146,1,5.47,19,0.5,0.5,0,0,,0.3,23.05,2,1,2.75
1,2019-10-01 00:03:24,2019-10-01 00:10:37,N,1,166,151,1,1.40,7.5,0.5,0.5,1.5,0,,0.3,10.3,1,1,0
2,2019-10-01 00:22:19,2019-10-01 00:36:02,N,5,92,82,1,5.89,20,0,0,0,0,,0,20,2,2,0
2,2019-10-01 00:31:25,2019-10-01 00:43:12,N,1,95,82,1,2.95,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,2019-10-01 00:02:08,2019-10-01 00:21:32,N,1,75,220,1,8.70,26.5,0.5,0.5,0.08,2.8,,0.3,30.68,1,1,0
2,2019-10-01 00:31:22,2019-10-01 00:34:06,N,1,74,75,1,.83,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2019-10-01 00:09:35,2019-10-01 00:14:24,N,1,181,189,1,.99,5.5,0.5,0.5,1.7,0,,0.3,8.5,1,1,0
2,2019-10-01 00:05:15,2019-10-01 00:14:52,N,1,181,181,1,1.93,9,0.5,0.5,2.58,0,,0.3,12.88,1,1,0
2,2019-10-01 00:35:35,2019-10-01 00:51:17,N,1,74,239,1,3.06,12.5,0.5,0.5,0,0,,0.3,16.55,2,1,2.75
2,2019-10-01 00:07:24,2019-10-01 00:20:40,N,1,181,188,1,2.90,11.5,0.5,0.5,0,0,,0.3,12.8,1,1,0
2,2019-10-01 00:05:41,2019-10-01 00:14:25,N,1,97,181,1,1.20,7.5,0.5,0.5,0.88,0,,0.3,9.68,1,1,0
2,2019-10-01 00:15:03,2019-10-01 00:22:17,N,1,181,40,1,1.47,7.5,0.5,0.5,2.2,0,,0.3,11,1,1,0
2,2019-10-01 00:57:44,2019-10-01 01:06:59,N,1,25,228,1,2.62,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,2019-10-01 00:10:15,2019-10-01 00:23:35,N,1,80,61,1,3.66,13.5,0.5,0.5,2.96,0,,0.3,17.76,1,1,0
2,2019-10-01 00:27:31,2019-10-01 00:46:59,N,1,112,37,5,3.84,15.5,0.5,0.5,3.36,0,,0.3,20.16,1,1,0
2,2019-10-01 00:04:41,2019-10-01 00:20:39,N,1,74,239,1,3.64,14.5,0.5,0.5,3.71,0,,0.3,22.26,1,1,2.75
2,2019-10-01 00:57:24,2019-10-01 01:08:01,N,1,168,60,1,2.43,10.5,0.5,0.5,0,0,,0.3,11.8,1,1,0
2,2019-10-01 00:53:10,2019-10-01 00:56:50,N,1,129,129,1,.38,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
1,2019-10-01 00:57:47,2019-10-01 01:00:14,N,1,41,42,4,.60,4,0.5,0.5,3,0,,0.3,8.3,1,1,0
2,2019-10-01 00:34:46,2019-10-01 00:44:34,N,1,260,7,1,1.78,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2019-10-01 00:54:59,2019-10-01 01:17:07,N,1,7,243,1,8.30,26,0.5,0.5,0,6.12,,0.3,33.42,2,1,0
2,2019-10-01 00:15:52,2019-10-01 00:23:11,N,1,82,223,1,2.13,9,0.5,0.5,2.06,0,,0.3,12.36,1,1,0
2,2019-10-01 00:01:53,2019-10-01 00:14:24,N,1,130,205,1,3.44,13,0.5,0.5,4.29,0,,0.3,18.59,1,1,0
1,2019-10-01 00:09:27,2019-10-01 00:16:40,N,1,82,82,1,1.60,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2019-10-01 00:06:33,2019-10-01 00:19:04,N,1,41,239,1,3.73,13,0.5,0.5,3.41,0,,0.3,20.46,1,1,2.75
2,2019-10-01 00:31:14,2019-10-01 00:40:31,N,1,166,244,1,3.50,12,0.5,0.5,3.32,0,,0.3,16.62,1,1,0
2,2019-10-01 00:42:46,2019-10-01 00:56:12,N,1,244,69,1,2.17,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
2,2019-10-01 00:19:19,2019-10-01 00:29:57,N,1,25,190,1,2.42,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
1,2019-10-01 00:30:56,2019-10-01 00:40:21,N,1,97,189,2,1.60,8.5,0.5,0.5,1.95,0,,0.3,11.75,1,1,0
2,2019-10-01 01:00:45,2019-10-01 01:13:33,N,1,66,87,4,2.73,11,0.5,0.5,0,0,,0.3,15.05,2,1,2.75
2,2019-10-01 00:02:53,2019-10-01 00:14:32,N,1,126,74,1,3.10,12,0.5,0.5,0,0,,0.3,13.3,1,1,0
2,2019-10-01 00:18:45,2019-10-01 00:29:23,N,1,42,74,1,1.64,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2019-10-01 00:41:32,2019-10-01 00:52:51,N,1,75,42,1,3.17,11.5,0.5,0.5,1.5,0,,0.3,14.3,1,1,0
2,2019-10-01 00:36:54,2019-10-01 00:54:20,N,1,92,179,1,5.48,19.5,0.5,0.5,0,0,,0.3,20.8,2,1,0
